CAMIS,RESTAURANT,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE_DESCRIPTION,INSPECTION_DATE,ACTION,VIOLATION_CODE,VIOLATION_DESC,CRITICALFLAG,INSPECTIONTYPE,Latitude,Longitude
50002562,EXQUISITO RESTAURANT,Queens,2112,36TH AVENUE,11106,7187843505,Spanish,8/9/21,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,Cycle Inspection / Initial Inspection,40.75976941,-73.93658104
50104111,VIVA CEVICHE,Queens,8815,37TH AVE,11372,7186852590,Latin American,7/27/21,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,Pre-permit (Operational) / Initial Inspection,40.75036023,-73.87849999
40662141,J AND D PIZZA,Queens,98-53,63 ROAD,11374,7182754347,Pizza,8/7/21,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,Cycle Inspection / Initial Inspection,40.73239929,-73.85771342
50072930,PHO 60,Brooklyn,1001,60 STREET,11219,7188857722,Southeast Asian,7/22/21,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,Cycle Inspection / Initial Inspection,40.63263528,-74.00481335
41645250,MANDARIN HOUSE,Brooklyn,2348,FLATBUSH AVENUE,11234,7182521719,Chinese,7/20/21,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,Cycle Inspection / Initial Inspection,40.61285451,-73.92599879
50071842,BOSTON MARKET,Bronx,880,WHITE PLAINS ROAD,10473,9792790075,American,8/25/21,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,Cycle Inspection / Initial Inspection,40.82372403,-73.85866277
50070093,GOOD TASTE 666,Queens,4345,MAIN ST,11355,7188863332,Chinese,8/30/21,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,Cycle Inspection / Initial Inspection,40.75158012,-73.82612729
50002701,JENNY COFFEE SHOP #2,Brooklyn,233,KINGSTON AVENUE,11213,7186049376,Spanish,8/31/21,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,Cycle Inspection / Initial Inspection,40.67193691,-73.94194611
41575411,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Brooklyn,568,FLATBUSH AVENUE,11225,7182821437,Caribbean,8/16/21,Violations were cited in the following area(s).,05F,Insufficient or no refrigerated or hot holding equipment to keep potentially hazardous foods at required temperatures.,Critical,Cycle Inspection / Initial Inspection,40.6598486,-73.96059801
50099903,PHO 86,Brooklyn,1944,86 STREET,11214,3475875026,Southeast Asian,8/31/21,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140¬∫ F.,Critical,Cycle Inspection / Initial Inspection,40.60527811,-73.99939858
41616953,DUNKIN,Queens,10721,71 AVENUE,11375,7182614257,American,8/20/21,Violations were cited in the following area(s).,20D,"‚ÄúChoking first aid‚Äù poster not posted. ‚ÄúAlcohol and pregnancy‚Äù warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted.",Not Critical,Administrative Miscellaneous / Initial Inspection,40.72048917,-73.84459293
50111280,PLANTSHED COFFEE BAR,Manhattan,723,AMSTERDAM AVENUE,10025,2126624400,Coffee/Tea,8/17/21,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,Pre-permit (Operational) / Initial Inspection,40.79356563,-73.97070674
50106422,OCULUS BEER GARDEN,Manhattan,33,VESEY STREET,10007,9172843261,American,8/10/21,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,Pre-permit (Operational) / Initial Inspection,40.71217579,-74.01035965
41655130,BROADWAY CHINA STATION,Queens,3212,31 STREET,11106,7185458888,Chinese,8/19/21,Violations were cited in the following area(s).,02G,Cold food item held above 41¬∫ F (smoked fish and reduced oxygen packaged foods above 38 ¬∫F) except during necessary preparation.,Critical,Cycle Inspection / Initial Inspection,40.76160461,-73.92568488
50100381,CHECKERS STORE #3332,Brooklyn,277,BROADWAY,11211,3479161399,American,7/26/21,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility‚Äôs food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,Cycle Inspection / Initial Inspection,40.70870766,-73.95869341
41627290,KELLY D JAMAICAN AND AMERICAN RESTAURANT,Queens,110-50,SUTPHIN BOULEVARD,11435,7186582300,Caribbean,8/18/21,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140¬∫ F.,Critical,Cycle Inspection / Initial Inspection,40.68903735,-73.79592956
50104381,BANG KOK CUISINE,Queens,107-18,70 ROAD,11375,7182614005,Thai,8/30/21,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,Pre-permit (Operational) / Initial Inspection,40.72131919,-73.8454027
50079007,MILE END DELICATESSEN,Brooklyn,97A,HOYT STREET,11217,7188527510,American,7/20/21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Cycle Inspection / Initial Inspection,40.68750004,-73.98716703
41378724,SCHNIPPER'S QUALITY KITCHEN,Manhattan,620,8 AVENUE,10018,2129212400,American,7/20/21,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,Cycle Inspection / Initial Inspection,40.75603172,-73.99065138
50109823,SUNRISING FOOD HUT RESTAURANT INC,Bronx,3497,BOSTON ROAD,10469,9176515698,Caribbean,7/27/21,Violations were cited in the following area(s).,05H,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",Critical,Pre-permit (Operational) / Initial Inspection,40.87696741,-73.84657986
41387224,B AND B RESTAURANT,Manhattan,165,WEST   26 STREET,10001,6464298174,African,8/24/21,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,Cycle Inspection / Initial Inspection,40.74553868,-73.99315385
50042386,CHIPOTLE MEXICAN GRILL,Queens,8710,NORTHERN BLVD,11372,7184248031,Tex-Mex,8/30/21,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,Cycle Inspection / Initial Inspection,40.75605499,-73.8805145
41040849,DISHES,Manhattan,6,EAST   45 STREET,10017,2126875511,American,8/24/21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Cycle Inspection / Initial Inspection,40.75521226,-73.97906152
50076107,LUCKY,Manhattan,168,AVENUE B,10009,2127773111,Other,8/26/21,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility‚Äôs food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,Cycle Inspection / Initial Inspection,40.72721853,-73.97965845
40399922,WHITE CASTLE,Manhattan,20922094,7TH AVE,,2126663556,American,8/25/21,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility‚Äôs food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,Cycle Inspection / Initial Inspection,0,0
50043521,SUBWAY,Manhattan,442,WEST   45 STREET,10036,2127572930,Soups_Salads_Sandwiches_Beverages,8/24/21,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,Cycle Inspection / Initial Inspection,40.76116735,-73.99318834
50108619,SILVER CHICKEN AND SEAFOOD,Brooklyn,832,CLARKSON AVENUE,11203,9175625088,Seafood,7/26/21,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility‚Äôs food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,Pre-permit (Operational) / Initial Inspection,40.65661204,-73.93068586
50067274,INTERNATIONAL FISH FRY,Brooklyn,972,MYRTLE AVENUE,11206,7185522208,American,7/29/21,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,Cycle Inspection / Initial Inspection,40.69612145,-73.94260655
41566403,AGORA TAVERNA,Queens,70-09,AUSTIN STREET,11375,7187937300,European,8/17/21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Cycle Inspection / Initial Inspection,40.72082674,-73.84660157
50110934,DOU DOU KITCHEN,Queens,4226,COLLEGE POINT BLVD,11355,9178681505,Chinese,8/26/21,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140¬∫ F.,Critical,Cycle Inspection / Initial Inspection,40.75449439,-73.8330678
50060885,THE SHADMOOR,Manhattan,1066,2 AVENUE,10022,7186690040,Seafood,8/31/21,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,Cycle Inspection / Initial Inspection,40.75872233,-73.9657011
41514945,CHOP'T,Manhattan,80,PINE STREET,10005,9173384803,Soups_Salads_Sandwiches_Beverages,8/17/21,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,Cycle Inspection / Initial Inspection,40.70588502,-74.0071811
50043852,L'EXPRESS,Manhattan,249,PARK AVENUE SOUTH,10003,2122545858,French,8/19/21,Violations were cited in the following area(s).,02G,Cold food item held above 41¬∫ F (smoked fish and reduced oxygen packaged foods above 38 ¬∫F) except during necessary preparation.,Critical,Cycle Inspection / Initial Inspection,40.73821521,-73.98779954
40372485,VETERANS OF FOREIGN WARS POST #107 CANTEEN,Brooklyn,2414,GERRITSEN AVENUE,11229,7187696094,American,8/3/21,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,Cycle Inspection / Initial Inspection,40.59810167,-73.9310133
40727214,CHINANTLA RESTAURANT,Brooklyn,657,MYRTLE AVENUE,11205,7182221719,Mexican,7/22/21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Cycle Inspection / Initial Inspection,40.69443165,-73.95743653
50079786,JERUSALEM 2,Brooklyn,5502,18 AVENUE,11204,7184174992,Pizza,8/2/21,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,Cycle Inspection / Re-inspection,40.62479798,-73.98450256
41577558,SUBWAY,Manhattan,36,WEST   46 STREET,10036,2122217565,Soups_Salads_Sandwiches_Beverages,8/17/21,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,Cycle Inspection / Initial Inspection,40.75655741,-73.98031361
41666265,HOWARD BEACH BAGEL CAFE,Queens,16254,CROSSBAY BOULEVARD,11414,7188435700,Soups_Salads_Sandwiches_Beverages,8/23/21,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility‚Äôs food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,Cycle Inspection / Initial Inspection,40.65323082,-73.83841811
50000587,CHIPOTLE MEXICAN GRILL,Manhattan,2298,BROADWAY,10024,6464126237,Tex-Mex,8/27/21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Cycle Inspection / Initial Inspection,40.78631565,-73.97812003
50050835,SUBWAY,Queens,6025,ROOSEVELT AVE,11377,7187799166,Soups_Salads_Sandwiches_Beverages,8/30/21,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,Cycle Inspection / Initial Inspection,40.74551528,-73.90411065
40513133,EL CONTINENTAL RESTAURANT,Brooklyn,672,FIFTH AVENUE,11215,7188321327,Latin American,7/22/21,Violations were cited in the following area(s).,02G,Cold food item held above 41¬∫ F (smoked fish and reduced oxygen packaged foods above 38 ¬∫F) except during necessary preparation.,Critical,Cycle Inspection / Initial Inspection,40.66199333,-73.99275877
41611217,"DUNKIN',' BASKIN ROBBINS",Bronx,2702,EAST TREMONT AVENUE,10461,7188243131,Coffee/Tea,8/5/21,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,Cycle Inspection / Initial Inspection,40.84265707,-73.84571237
41137340,DILLINGERS PUB & GRILL,Queens,4619,30 AVENUE,11103,7189565601,American,7/22/21,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,Cycle Inspection / Initial Inspection,40.76153571,-73.90996426
50047161,KENNEDY FRIED CHICKEN & PIZZA,Bronx,2843,GRAND CONCOURSE,10468,7184503959,Chicken,8/26/21,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,Cycle Inspection / Initial Inspection,40.86998359,-73.89123207
41700017,LITTLE CAESARS,Queens,8610,ROOSEVELT AVENUE,11372,7182052350,Pizza,8/13/21,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,Cycle Inspection / Initial Inspection,40.74803149,-73.87998758
50089792,HUNAN K,Queens,6014,QUEENS BLVD,11377,7187798177,Chinese,8/23/21,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,Cycle Inspection / Initial Inspection,40.74145307,-73.90415621
41612489,PREMIER CAFE,Manhattan,856,7 AVENUE,10019,2127574477,American,8/20/21,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,Cycle Inspection / Initial Inspection,40.76412483,-73.98105862
50108645,Taqueria El Toro,Brooklyn,7302,3 AVENUE,11209,7183335200,Other,8/6/21,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,Pre-permit (Operational) / Initial Inspection,40.63271997,-74.02728768
41622592,GENNARO'S AT COUNTRY LANES,Staten Island,1600,HYLAN BOULEVARD,10305,7183510192,American,8/13/21,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,Cycle Inspection / Initial Inspection,40.58950731,-74.08944286
50064557,VENIERO'S BAKERY,Manhattan,340-342,E 11TH ST,10003,2126747070,Bakery,8/13/21,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,Cycle Inspection / Re-inspection,40.72973354,-73.9848966
50065353,J & R's DOSA GARDEN,Staten Island,323,VICTORY BOULEVARD,10301,7184200919,Indian Subcontinent,8/11/21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Cycle Inspection / Initial Inspection,40.63440965,-74.08534552
40906867,SUBWAY,Manhattan,173,WEST   26 STREET,10001,2122557647,Soups_Salads_Sandwiches_Beverages,8/10/21,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,Cycle Inspection / Initial Inspection,40.74560456,-73.99331264
41627819,JACOB'S PICKLES,Manhattan,509,AMSTERDAM AVENUE,10024,2124705566,American,8/18/21,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility‚Äôs food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,Cycle Inspection / Initial Inspection,40.78665004,-73.97575099
41189470,CARRO CAFE,Brooklyn,3472,FULTON STREET,11208,7183489406,Latin American,8/4/21,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility‚Äôs food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,Cycle Inspection / Re-inspection,40.68498951,-73.86744566
50057093,WESTVILLE WALL STREET,Manhattan,110,WALL STREET,10005,2129242203,American,8/9/21,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,Cycle Inspection / Initial Inspection,40.70463069,-74.00669405
50107783,Lulu & Dino Cafe,Queens,21902,NORTHERN BLVD,11361,5167763000,Coffee/Tea,7/29/21,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,Pre-permit (Operational) / Initial Inspection,40.76126262,-73.76273189
50038898,NEW GREAT WALL CHINESE RESTAURANT,Queens,6913,WOODSIDE AVE,11377,7188980815,Chinese,8/17/21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Cycle Inspection / Initial Inspection,40.74266137,-73.89542483
