restaurant,BORO,INSPECTION DATE,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG
369 BBQ,Brooklyn,7/20/21,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical
42ND STREET PIZZA DINER,Manhattan,7/27/21,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical
42ND STREET PIZZA DINER,Queens,7/20/21,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical
5 BURRO CAFE,Manhattan,7/23/21,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical
575 PUB ON SECOND,Staten Island,7/29/21,02B,Hot food item not held at or above 140º F.,Critical
575 PUB ON SECOND,Brooklyn,7/19/21,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical
876 CROWN,Brooklyn,7/21/21,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical
876 CROWN,Brooklyn,7/21/21,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical
876 CROWN,Staten Island,7/19/21,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical
876 CROWN,Manhattan,7/23/21,04M,Live roaches present in facility's food and/or non-food areas.,Critical
98K,Brooklyn,7/20/21,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Critical
98K,Queens,7/20/21,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical
98K,Manhattan,7/23/21,04E,"Toxic chemical improperly labeled, stored or used such that food contamination may occur.",Critical
98K,Queens,7/19/21,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical
99 CENT PIZZA,Manhattan,7/28/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
99 CENT PIZZA,Queens,7/27/21,05H,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",Critical
99 CENT PIZZA,Manhattan,7/26/21,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical
99 CENT PIZZA,Queens,7/26/21,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical
99 CENT PIZZA,Brooklyn,7/19/21,20D,"“Choking first aid” poster not posted. “Alcohol and pregnancy” warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted.",Not Critical
99 CENT PIZZA,Bronx,7/22/21,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Critical
99 CENT PIZZA,Bronx,5/14/21,22A,"Nuisance created or allowed to exist.  Facility not free from unsafe, hazardous, offensive or annoying conditions.",Not Critical
99 CENT PIZZA,Manhattan,7/23/21,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical
99 CENTS FRESH PIZZA,Queens,7/22/21,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical
A & A BAKE AND DOUBLE SHOP,Bronx,7/28/21,02B,Hot food item not held at or above 140º F.,Critical
A & C KITCHEN,Queens,7/20/21,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical
A & S PIZZERIA,Manhattan,7/12/21,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical
A TASTE OF SHANGHAI RESTAURANT,Manhattan,7/27/21,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2  hours, and from 70º F to 41º F or less within 4 additional hours.",Critical
ABITINO'S PIZZA,Brooklyn,7/22/21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
ABITINO'S PIZZA,Brooklyn,7/27/21,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical
ABITINO'S PIZZA,Queens,7/29/21,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical
ABITINO'S PIZZA,Queens,7/23/21,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical
ABITINO'S PIZZA,Queens,7/20/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
ABITINO'S PIZZA,Queens,7/29/21,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical
ABITINO'S PIZZA,Brooklyn,7/26/21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
ABURI SUSHI BAR,Manhattan,7/20/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
ABURI SUSHI BAR,Manhattan,7/30/21,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical
AD HOC COLLECTIVE,Manhattan,7/29/21,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical
AD HOC COLLECTIVE,Bronx,7/19/21,04A,Food Protection Certificate not held by supervisor of food operations.,Critical
Ademi Tea & Coffee,Manhattan,7/20/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
ADRIA HOTEL,Brooklyn,7/28/21,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical
ADRIA HOTEL,Manhattan,7/20/21,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical
ADRIA HOTEL,Brooklyn,7/29/21,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical
ADRIA HOTEL,Queens,7/22/21,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical
"ADVENTURES AMUSEMENTS PARK (ice cream, sweets stand)",Queens,7/28/21,02B,Hot food item not held at or above 140º F.,Critical
"ADVENTURES AMUSEMENTS PARK (ice cream, sweets stand)",Manhattan,7/21/21,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical
"ADVENTURES AMUSEMENTS PARK (ice cream, sweets stand)",Brooklyn,7/28/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
"ADVENTURES AMUSEMENTS PARK (ice cream, sweets stand)",Brooklyn,7/27/21,04A,Food Protection Certificate not held by supervisor of food operations.,Critical
"ADVENTURES AMUSEMENTS PARK (ice cream, sweets stand)",Manhattan,7/23/21,04M,Live roaches present in facility's food and/or non-food areas.,Critical
AIRWAYS PIZZA & GYRO RESTAURANT,Manhattan,7/30/21,05H,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",Critical
AIRWAYS PIZZA & GYRO RESTAURANT,Brooklyn,7/22/21,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical
AIRWAYS PIZZA & GYRO RESTAURANT,Queens,7/26/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
AIRWAYS PIZZA & GYRO RESTAURANT,Manhattan,7/29/21,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical
Akaru Sushi,Brooklyn,7/28/21,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical
Akaru Sushi,Manhattan,7/27/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
Akaru Sushi,Queens,7/22/21,04A,Food Protection Certificate not held by supervisor of food operations.,Critical
Akaru Sushi,Bronx,7/21/21,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical
AKIYAMA JAPANESE RESTAURANT,Queens,7/27/21,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical
ALFONSO'S PASTRY SHOPPE,Brooklyn,7/20/21,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical
ALFONSO'S PASTRY SHOPPE,Bronx,7/28/21,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical
ALFONSO'S PASTRY SHOPPE,Manhattan,7/27/21,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical
ALICE'S TEA CUP,Brooklyn,7/21/21,05H,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",Critical
ALICE'S TEA CUP,Brooklyn,7/22/21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
ALIOTTA BAKE SHOP,Brooklyn,7/20/21,05F,Insufficient or no refrigerated or hot holding equipment to keep potentially hazardous foods at required temperatures.,Critical
ALIOTTA BAKE SHOP,Manhattan,7/21/21,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical
ALIOTTA BAKE SHOP,Queens,7/22/21,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical
ALITA,Brooklyn,7/31/21,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical
ALITA,Queens,7/23/21,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical
ALITA,Brooklyn,7/22/21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
ALITA,Queens,7/26/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
ALITA,Bronx,7/28/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
ALL AMERICAN DELI,Manhattan,7/27/21,02B,Hot food item not held at or above 140º F.,Critical
ALL AMERICAN DELI,Brooklyn,7/30/21,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical
ALL AMERICAN DELI,Brooklyn,7/23/21,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical
ALL AMERICAN DELI,Manhattan,7/27/21,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Critical
ALOHA KRAB,Queens,7/19/21,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical
ALOHA KRAB,Queens,7/23/21,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical
ALOHA KRAB,Queens,7/23/21,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical
ALOHA KRAB,Brooklyn,7/19/21,04A,Food Protection Certificate not held by supervisor of food operations.,Critical
ALOHA KRAB,Manhattan,7/30/21,20D,"“Choking first aid” poster not posted. “Alcohol and pregnancy” warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted.",Not Critical
ALOHA KRAB,Manhattan,7/27/21,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2  hours, and from 70º F to 41º F or less within 4 additional hours.",Critical
ALOHA KRAB,Manhattan,7/19/21,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical
ALOHA KRAB,Staten Island,7/21/21,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical
ALOHA KRAB,Brooklyn,7/26/21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
ALOHA KRAB,Manhattan,7/22/21,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical
ALOHA KRAB,Manhattan,7/28/21,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical
ALOHA KRAB,Manhattan,7/27/21,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical
ALWAYS HOME SOCIAL DAYCARE CENTER,Queens,7/23/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
ALWAYS HOME SOCIAL DAYCARE CENTER,Manhattan,7/21/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
AMARACHI PRIME,Brooklyn,7/21/21,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2  hours, and from 70º F to 41º F or less within 4 additional hours.",Critical
AMARACHI PRIME,Queens,7/19/21,02B,Hot food item not held at or above 140º F.,Critical
AMARACHI PRIME,Brooklyn,7/29/21,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical
AMARACHI PRIME,Manhattan,7/22/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
AMARACHI PRIME,Bronx,7/20/21,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical
AMELIA'S DINER,Brooklyn,7/22/21,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical
AMELIA'S DINER,Bronx,7/19/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
AMELIA'S DINER,Queens,3/10/21,22A,"Nuisance created or allowed to exist.  Facility not free from unsafe, hazardous, offensive or annoying conditions.",Not Critical
AMELIA'S DINER,Manhattan,7/23/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
AMELIA'S DINER,Brooklyn,7/22/21,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical
AMELIA'S DINER,Queens,7/23/21,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical
AMERICAN HERO & SUB'S,Manhattan,7/28/21,09A,Canned food product observed dented and not segregated from other consumable food items.,Not Critical
AMERICAN HERO & SUB'S,Brooklyn,7/26/21,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical
AMERICAN HERO & SUB'S,Brooklyn,7/23/21,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical
AMICI PIZZERIA,Brooklyn,7/19/21,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical
AMICI PIZZERIA,Brooklyn,7/19/21,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2  hours, and from 70º F to 41º F or less within 4 additional hours.",Critical
AMICI PIZZERIA,Queens,7/21/21,02B,Hot food item not held at or above 140º F.,Critical
AMICI PIZZERIA,Manhattan,7/30/21,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical
AMICI PIZZERIA,Manhattan,7/23/21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
AMICI PIZZERIA,Queens,7/22/21,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical
AMIRA'S CAFE,Manhattan,7/19/21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
AMIRA'S CAFE,Brooklyn,7/31/21,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Critical
AMIRA'S CAFE,Bronx,7/21/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
AMIRA'S CAFE,Brooklyn,7/21/21,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical
AMPLE HILLS,Brooklyn,7/22/21,02B,Hot food item not held at or above 140º F.,Critical
AMPLE HILLS CREAMERY,Queens,7/22/21,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical
AMSTERDAM BILLIARDS,Brooklyn,7/28/21,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical
ANDRE'S BAKERY,Manhattan,5/13/21,22A,"Nuisance created or allowed to exist.  Facility not free from unsafe, hazardous, offensive or annoying conditions.",Not Critical
ANDRE'S BAKERY,Bronx,7/28/21,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical
ANDRE'S BAKERY,Brooklyn,7/23/21,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical
ANDRE'S BAKERY,Queens,7/21/21,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical
ANDRE'S BAKERY,Bronx,7/21/21,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical
ANDRE'S BAKERY,Brooklyn,7/28/21,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical
ANDRE'S BAKERY,Queens,7/16/21,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical
ANDRE'S BAKERY,Brooklyn,7/23/21,10D,"Mechanical or natural ventilation system not provided,  improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical
ANDRE'S BAKERY,Manhattan,7/29/21,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical
ANDRE'S BAKERY,Manhattan,7/30/21,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical
ANDRE'S BAKERY,Queens,7/19/21,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical
ANDY'S CAFETERIA,Queens,7/29/21,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical
ANDY'S CAFETERIA,Queens,7/29/21,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical
ANDY'S CAFETERIA,Manhattan,7/22/21,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical
ANGELA'S BAKERY,Brooklyn,7/31/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
ANGELA'S BAKERY,Brooklyn,1/15/21,22A,"Nuisance created or allowed to exist.  Facility not free from unsafe, hazardous, offensive or annoying conditions.",Not Critical
ANGELA'S BAKERY,Brooklyn,7/24/21,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical
ANGELA'S BAKERY,Brooklyn,7/21/21,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical
ANGELA'S BAKERY,Manhattan,7/30/21,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical
ANGELA'S BAKERY,Queens,7/20/21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
ANGELICA'S CAFE,Brooklyn,7/21/21,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical
ANGELICA'S CAFE,Queens,7/19/21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
ANGELICA'S CAFE,Queens,7/29/21,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical
ANGELICA'S CAFE,Queens,7/29/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
ANGELICA'S CAFE,Queens,7/22/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
ANGELICA'S CAFE,Brooklyn,7/21/21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
